[Sun Mar 29 20:22:04 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Sun Mar 29 20:22:08 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Sun Mar 29 20:34:03 CDT 2026] GSH_MESH ALARM PIPE FORGED AND ACTIVE
[Sun Mar 29 21:35:30 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Sun Mar 29 21:35:35 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Sun Mar 29 21:36:54 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Sun Mar 29 21:36:58 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Mar 30 16:46:48 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Mar 30 16:46:48 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Mar 30 16:46:55 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Tue Mar 31 11:20:03 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Tue Mar 31 11:20:03 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Tue Mar 31 11:20:08 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Tue Mar 31 14:40:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Tue Mar 31 14:40:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Tue Mar 31 14:40:15 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Tue Mar 31 18:45:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Tue Mar 31 18:45:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Tue Mar 31 18:45:32 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Tue Mar 31 19:20:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Tue Mar 31 19:20:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Tue Mar 31 19:20:37 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Wed Apr  1 01:15:03 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Wed Apr  1 01:15:03 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Wed Apr  1 01:15:08 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Thu Apr  2 05:05:03 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Thu Apr  2 05:05:04 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
