               ticket_id                | status  |              parent_id              |         subject         |                          notes                          
----------------------------------------+---------+-------------------------------------+-------------------------+---------------------------------------------------------
 20260406-RT-289-FINAL-127-FIX          | CLOSED  | 20260406-RT-288-PATH-RECOVERY       |                         | 
 20260406-RT-330-EXEC                   | CLOSED  | 20260406-RT-329                     |                         | 
 STICKY-GENESIS-V1.2.2                  | CLOSED  | 20260406-RT-323-GENESIS-VERIFIED    |                         | 
 STICKY-GENESIS-V1.2.3                  | STICKY  | 20260406-RT-331                     |                         | 
 20260406-RT-235-DB_VAULT_INIT          | CLOSED  | 20260406-RT-234-SYNC                |                         | 
 20260406-RT-236-PREFLIGHT              | CLOSED  | 20260406-RT-235-DB_VAULT_INIT       |                         | 
 20260406-RT-237-COMPILE                | CLOSED  | 20260406-RT-236-PREFLIGHT           |                         | 
 20260406-RT-238-PATCH_BUILD_SCRIPT     | CLOSED  | 20260406-RT-237-COMPILE             |                         | 
 20260406-RT-241                        | CLOSED  | 20260406-RT-238-PATCH_BUILD_SCRIPT  |                         | 
 20260406-RT-243-SSH_PTY_FIX            | CLOSED  | 20260406-RT-242-BOO_INIT_RETRY      |                         | 
 20260406-RT-245-GMODEM_JOIN            | CLOSED  | 20260406-RT-244-VERIFY_BOOT         |                         | 
 20260406-RT-246                        | CLOSED  | 20260406-RT-245-GMODEM_JOIN         |                         | 
 20260406-RT-264-UNIFIED_IDENTITY       | CLOSED  | 20260406-RT-263                     |                         | 
 20260406-RT-269                        | CLOSED  | 20260406-RT-268                     |                         | 
 20260406-RT-274-FINAL_IDENTITY_SWEEP   | CLOSED  | 20260406-RT-273-AUTH_RECOVERY_201   |                         | 
 20260406-RT-278-GMODEM_INIT            | CLOSED  | 20260406-RT-277-ROW1-INTENT         |                         | 
 20260406-RT-283-BASHRC_IGNITION_FIX    | CLOSED  | 20260406-RT-282-CRASH_RECOVERY      |                         | 
 20260406-RT-332-ANCHOR                 | CLOSED  | STICKY-GENESIS-V1.2.3               |                         | 
 20260406-RT-335-DARK                   | CLOSED  | STICKY-GENESIS-V1.2.3               |                         | 
 20260406-RT-302-GENESIS-V1.2           | CLOSED  | 20260406-RT-301-QUIET-SEAL          |                         | 
 20260406-RT-304-RECOVERY-FINAL         | CLOSED  | 20260406-RT-303-CRASH-RECOVERY      |                         | 
 20260406-RT-271-MESH_EXPANSION_201_6   | STALLED | COOLOFF_20260406_12H                |                         | 
 20260406-RT-273-AUTH_RECOVERY_201      | STALLED | COOLOFF_20260406_12H                |                         | 
 20260406-RT-281-PRO_AUTH_FIX_201       | STALLED | COOLOFF_20260406_12H                |                         | 
 20260406-RT-284-DIAGNOSE_201_MH_AIRGAP | STALLED | COOLOFF_20260406_12H                |                         | 
 20260406-RT-306-STUB-FIX-FINAL         | CLOSED  | 20260406-RT-305-GENESIS-SEAL        |                         | 
 20260406-RT-307-QUIET-STATE            | CLOSED  | 20260406-RT-306                     |                         | 
 20260406-RT-277-ROW1-INTENT            | CLOSED  | 20260406-RT-276-IGNITION_DIAGNOSTIC |                         | 
 GEMINI-INSTRUCTION-STICKY-EVAL         | CLOSED  | 20260406-RT-277-ROW1-INTENT         |                         | 
 RT-316-UNIFIED                         | CLOSED  | STICKY-20260406-V1.2                |                         | 
 20260406-RT-321-PRO-RECONSTRUCT        | CLOSED  | 20260406-RT-320-PRO-PURGE           |                         | 
 20260406-RT-322-DEEP-PURGE             | CLOSED  | 20260406-RT-321-PRO-RECONSTRUCT     |                         | 
 RT-317-UNIFIED-FINAL                   | CLOSED  | RT-316-UNIFIED                      |                         | 
 20260406-RT-323-GENESIS-VERIFIED       | CLOSED  | RT-317-UNIFIED-FINAL                |                         | 
 STICKY-20260406-V1.2                   | CLOSED  | GENESIS_LOCKED                      |                         | 
 20260406-RT-318-PRO-TRACE              | CLOSED  | RT-317-UNIFIED-FINAL                |                         | 
